RT,I
5.595,477.0
5.6,490.0
5.605,502.0
5.61,486.0
5.614999999999999,503.0
5.62,526.0
5.625,540.0
5.63,582.0
5.635000000000001,554.0
5.64,545.0
5.645,521.0
5.65,462.0
5.655,442.0
5.66,455.0
5.665,478.0
5.67,506.0
5.675,566.0
5.680000000000001,616.0
5.6850000000000005,587.0
5.6899999999999995,545.0
5.694999999999999,536.0
5.7,567.0
5.705,596.0
5.71,583.0
5.715,546.0
5.72,545.0
5.725,522.0
5.73,476.0
5.735,494.0
5.739999999999999,516.0
5.745,459.0
5.75,441.0
5.755,496.0
5.760000000000001,569.0
5.765,574.0
5.77,509.0
5.775,472.0
5.78,497.0
5.785,532.0
5.79,633.0
5.795,623.0
5.8,523.0
5.805000000000001,496.0
5.8100000000000005,487.0
5.8149999999999995,490.0
5.819999999999999,463.0
5.825,455.0
5.83,484.0
5.835,525.0
5.84,536.0
5.845,506.0
5.85,516.0
5.855,553.0
5.86,575.0
5.864999999999999,537.0
5.87,467.0
5.875,426.0
5.88,447.0
5.885000000000001,472.0
5.89,456.0
5.895,438.0
5.9,524.0
5.905,539.0
5.91,532.0
5.915,585.0
5.92,588.0
5.925,518.0
5.930000000000001,534.0
5.9350000000000005,592.0
5.9399999999999995,586.0
5.944999999999999,518.0
5.95,556.0
5.955,626.0
5.96,604.0
5.965,570.0
5.97,562.0
5.975,506.0
5.98,473.0
5.985,484.0
5.989999999999999,468.0
5.995,448.0
6.0,480.0
6.005,507.0
6.010000000000001,548.0
6.015,567.0
6.02,538.0
6.025,543.0
6.03,553.0
6.035,541.0
6.04,523.0
6.045,545.0
6.05,554.0
6.055000000000001,575.0
6.0600000000000005,590.0
6.0649999999999995,535.0
6.069999999999999,521.0
6.075,530.0
6.08,497.0
6.085,481.0
6.09,556.0
6.095,626.0
6.1,567.0
6.105,494.0
6.11,515.0
6.114999999999999,551.0
6.12,519.0
6.125,522.0
6.13,572.0
6.135000000000001,596.0
6.14,553.0
6.145,522.0
6.15,537.0
6.155,555.0
6.16,599.0
6.165,618.0
6.17,573.0
6.175,510.0
6.180000000000001,510.0
6.1850000000000005,534.0
6.1899999999999995,552.0
6.194999999999999,564.0
6.2,630.0
6.205,590.0
6.21,519.0
6.215,466.0
6.22,446.0
6.225,419.0
6.23,447.0
6.235,489.0
6.239999999999999,466.0
6.245,428.0
6.25,439.0
6.255,477.0
6.260000000000001,494.0
6.265,535.0
6.27,561.0
